text,crime_type,location,date,time,processed_text
A physical assault was reported in Connaught Place where a man was beaten by a group over a parking dispute.,Assault (Physical),"Connaught Place, Delhi",01-10-2023,14:30:00,physical assault reported connaught place man beaten group parking dispute
A sexual assault case was filed in Saket where a woman was attacked while walking home at night.,Assault (Sexual),"Saket, Delhi",02-10-2023,22:45:00,sexual assault case filed saket woman attacked walking home night
Domestic violence was reported in Dwarka where a woman was assaulted by her husband over a financial dispute.,Assault (Domestic Violence),"Dwarka, Delhi",03-10-2023,18:15:00,domestic violence reported dwarka woman assaulted husband financial dispute
A murder was reported in Lodhi Garden where a man was stabbed to death during an argument.,Murder/Homicide,"Lodhi Garden, Delhi",04-10-2023,12:00:00,murder reported lodhi garden man stabbed death argument
An attempted murder was reported in Karol Bagh where a shopkeeper was attacked with a knife.,Attempted Murder,"Karol Bagh, Delhi",05-10-2023,09:30:00,attempted murder reported karol bagh shopkeeper attacked knife
A kidnapping was reported in Rohini where a child was abducted while playing outside.,Kidnapping/Abduction,"Rohini, Delhi",06-10-2023,03:00:00,kidnapping reported rohini child abducted playing outside
An armed robbery was reported in Greater Kailash where masked men looted a jewelry shop at gunpoint.,Robbery (Armed),"Greater Kailash, Delhi",07-10-2023,19:20:00,armed robbery reported greater kailash masked men looted jewelry shop gunpoint
"A riot broke out in Rajiv Chowk after a political rally turned violent, injuring several people.",Rioting,"Rajiv Chowk, Delhi",08-10-2023,11:45:00,riot broke rajiv chowk political rally turned violent injuring several people
"Gang violence erupted in Rohini, resulting in a shootout between rival groups.",Gang Violence,"Rohini, Delhi",09-10-2023,16:00:00,gang violence erupted rohini resulting shootout rival group
"A terrorist threat was reported in Connaught Place, leading to heightened security measures.",Terrorism,"Connaught Place, Delhi",10-10-2023,20:30:00,terrorist threat reported connaught place leading heightened security measure
A physical assault was reported in Noida where a man was attacked by his neighbor over a noise complaint.,Assault (Physical),"Noida, UP",11-10-2023,14:20:00,physical assault reported noida man attacked neighbor noise complaint
A sexual assault case was filed in Cyber City where a woman was harassed by a coworker.,Assault (Sexual),"Cyber City, Gurgaon",12-10-2023,13:00:00,sexual assault case filed cyber city woman harassed coworker
Domestic violence was reported in Dwarka where a man was beaten by his wife during an argument.,Assault (Domestic Violence),"Dwarka, Delhi",13-10-2023,08:30:00,domestic violence reported dwarka man beaten wife argument
A murder was reported in Saket where a woman was found dead in her apartment.,Murder/Homicide,"Saket, Delhi",14-10-2023,22:00:00,murder reported saket woman found dead apartment
An attempted murder was reported in Karol Bagh where a man was shot but survived.,Attempted Murder,"Karol Bagh, Delhi",15-10-2023,23:00:00,attempted murder reported karol bagh man shot survived
A kidnapping was reported in Rohini where a teenager was abducted by strangers in a van.,Kidnapping/Abduction,"Rohini, Delhi",16-10-2023,21:10:00,kidnapping reported rohini teenager abducted stranger van
